Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;User_Score;Price
Wii Sports;Wii;2006;Sports;Nintendo;82.54;8;13
Super Mario Bros.;NES;1985;Platform;Nintendo;40.24;0;6
Mario Kart Wii;Wii;2008;Racing;Nintendo;35.57;8.3;34
Naruto Shippuden: Ultimate Ninja Storm 2;PS3;2010;Fighting;Namco Bandai Games;1.21;8.3;28
Wii Sports Resort;Wii;2009;Sports;Nintendo;32.78;8;32
Pokemon Red/Pokemon Blue;G;1996;Role-Playing;Nintendo;31.37;0;14
Tetris;G;1989;Puzzle;Nintendo;30.26;0;14
New Super Mario Bros.;DS;2006;Platform;Nintendo;29.81;8.5;23
Wii Play;Wii;2006;Misc;Nintendo;28.92;6.6;34
New Super Mario Bros. Wii;Wii;2009;Platform;Nintendo;28.38;8.4;20
Duck Hunt;NES;1984;Shooter;Nintendo;28.31;0;11
Nintendogs;DS;2005;Simulation;Nintendo;24.67;0;26
Mario Kart DS;DS;2005;Racing;Nintendo;23.22;8.6;15
Pokemon Gold/Pokemon Silver;G;1999;Role-Playing;Nintendo;23.1;0;3
Wii Fit;Wii;2007;Sports;Nintendo;22.7;7.7;31
Kinect Adventures!;X360;2010;Misc;Microsoft Game Studios;21.86;6.3;26
Wii Fit Plus;Wii;2009;Sports;Nintendo;21.79;7.4;44
Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;21.12;8.2;43
Grand Theft Auto: San Andreas;PS2;2004;Action;Take-Two Interactive;20.81;9;10
Super Mario World;SNES;1990;Platform;Nintendo;20.61;0;7
Brain Age: Train Your Brain in Minutes a Day;DS;2005;Misc;Nintendo;20.15;7.9;15
Pokemon Diamond/Pokemon Pearl;DS;2006;Role-Playing;Nintendo;18.25;0;42
Super Mario Land;G;1989;Platform;Nintendo;18.14;0;3
Super Mario Bros. 3;NES;1988;Platform;Nintendo;17.28;0;10
Grand Theft Auto V;X360;2013;Action;Take-Two Interactive;16.3;8.1;27
Grand Theft Auto: Vice City;PS2;2002;Action;Take-Two Interactive;16.15;8.7;18
Pokemon Ruby/Pokemon Sapphire;GBA;2002;Role-Playing;Nintendo;15.85;0;27
Brain Age 2: More Training in Minutes a Day;DS;2005;Puzzle;Nintendo;15.29;7.1;30
Pokemon Black/Pokemon White;DS;2010;Role-Playing;Nintendo;15.14;0;19
Gran Turismo 3: A-Spec;PS2;2001;Racing;Sony Computer Entertainment;14.98;8.4;21
Pokemon X/Pokemon Y;3DS;2013;Role-Playing;Nintendo;14.92;0;43
Call of Duty: Black Ops 3;PS4;2015;Shooter;Activision;14.8;0;10
Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;14.77;3.4;18
Call of Duty: Black Ops;X360;2010;Shooter;Activision;14.67;6.3;42
Pok\xc3\xa9mon Yellow: Special Pikachu Edition;G;1998;Role-Playing;Nintendo;14.64;0;8
Call of Duty: Black Ops II;PS3;2012;Shooter;Activision;13.79;5.3;35
Call of Duty: Black Ops II;X360;2012;Shooter;Activision;13.69;4.8;21
Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision;13.48;6.3;37
Grand Theft Auto V;PS4;2014;Action;Take-Two Interactive;13.36;8.3;44
Call of Duty: Modern Warfare 3;PS3;2011;Shooter;Activision;13.32;3.2;17
Grand Theft Auto III;PS2;2001;Action;Take-Two Interactive;13.1;8.5;12
Mario Kart 7;3DS;2011;Racing;Nintendo;13.04;8.2;29
Super Smash Bros. Brawl;Wii;2008;Fighting;Nintendo;12.87;8.9;12
Call of Duty: Black Ops;PS3;2010;Shooter;Activision;12.64;6.4;30
Animal Crossing: Wild World;DS;2005;Simulation;Nintendo;12.13;8.6;24
Halo 3;X360;2007;Shooter;Microsoft Game Studios;12.12;7.8;31
Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;2014;Role-Playing;Nintendo;11.95;0;16
Super Mario 64;N64;1996;Platform;Nintendo;11.89;0;4
Pokemon HeartGold/Pokemon SoulSilver;DS;2009;Action;Nintendo;11.77;0;44
Gran Turismo 4;PS2;2004;Racing;Sony Computer Entertainment;11.66;8.5;12
Pokemon Sun/Moon;3DS;2016;Role-Playing;Nintendo;11.4;0;44
Super Mario Galaxy;Wii;2007;Platform;Nintendo;11.36;8.9;30
Super Mario Land 2: 6 Golden Coins;G;1992;Adventure;Nintendo;11.18;0;7
Grand Theft Auto IV;X360;2008;Action;Take-Two Interactive;11.01;7.9;39
Gran Turismo;PS;1997;Racing;Sony Computer Entertainment;10.95;8.8;11
Super Mario 3D Land;3DS;2011;Platform;Nintendo;10.87;8.4;28
Gran Turismo 5;PS3;2010;Racing;Sony Computer Entertainment;10.7;7.5;44
Call of Duty: Modern Warfare 2;PS3;2009;Shooter;Activision;10.6;6.3;33
Super Mario All-Stars;SNES;1993;Platform;Nintendo;10.55;0;11
Grand Theft Auto IV;PS3;2008;Action;Take-Two Interactive;10.51;7.5;41
Pokemon FireRed/Pokemon LeafGreen;GBA;2004;Role-Playing;Nintendo;10.49;0;15
Super Mario 64;DS;2004;Platform;Nintendo;10.31;0;20
Call of Duty: Ghosts;X360;2013;Shooter;Activision;10.28;2.6;27
Just Dance 3;Wii;2011;Misc;Ubisoft;10.12;7.8;30
New Super Mario Bros. 2;3DS;2012;Platform;Nintendo;10.05;7.2;22
Halo: Reach;X360;2010;Shooter;Microsoft Game Studios;9.9;7.9;10
Mario Kart 64;N64;1996;Racing;Nintendo;9.87;0;4
Halo 4;X360;2012;Shooter;Microsoft Game Studios;9.77;7;18
Final Fantasy VII;PS;1997;Role-Playing;Sony Computer Entertainment;9.72;9.2;11
Gran Turismo 2;PS;1999;Racing;Sony Computer Entertainment;9.49;9;10
Just Dance 2;Wii;2010;Misc;Ubisoft;9.44;7.3;19
Call of Duty: Ghosts;PS3;2013;Shooter;Activision;9.37;2.6;44
Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision;9.35;8.4;27
Animal Crossing: New Leaf;3DS;2012;Simulation;Nintendo;9.34;8.7;21
Donkey Kong Country;SNES;1994;Platform;Nintendo;9.3;0;7
Minecraft;X360;2013;Misc;Microsoft Game Studios;9.3;0;32
FIFA 17;PS4;2016;Sports;Electronic Arts;9.07;4.9;32
Mario Party DS;DS;2007;Misc;Nintendo;8.91;7.8;26
The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;8.84;8.4;13
Super Mario Kart;SNES;1992;Racing;Nintendo;8.76;0;10
